id;uid;email;first_name;last_name;status;roles
1;5cf2bc99-2721-407d-992b-a00fbdf302f2;Elliott.Monahan@yahoo.com;Holden;Bahringer;Namibia;Steel zero administration
2;5371c936-8f97-40d9-a271-0fff9c64013a;Idella60@gmail.com;Jermey;Sipes;Salad;Digitized invoice
3;46838920-fdc7-4f6e-a9be-519380f5d6b4;Rhoda_McGlynn@yahoo.com;Earl;Moen;bifurcated scalable;Small
4;f6c63400-d3bb-4bcc-91e5-a1edd9751154;Eriberto_OReilly63@hotmail.com;Dorris;Torphy;Junction Frozen;synthesizing hard drive Robust
5;4708b610-7130-4ea7-998b-e23968c33f19;Maude_Crooks62@gmail.com;Raheem;Grimes;Refined Squares;maroon
6;ee85c1e5-5e14-43a6-8d5d-40288673b145;Twila21@gmail.com;Joshuah;Lynch;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance
7;049f8600-45ea-43a2-877f-839a1c533bc5;Lonzo.Wyman@yahoo.com;Kailee;Schultz;optical;installation
8;2b0d95a3-0b8c-435a-92fb-668ed2a5b13e;Serenity22@yahoo.com;Magdalena;Daniel;Designer Borders content-based;Tasty Customer Human
9;a3545bbd-ede6-4cea-91e2-cea99051faf0;Carolina.Gutmann@gmail.com;Mathew;King;Manager Fish;Networked
10;52b5abdb-a498-4185-a443-9ff67eea6c58;Kirsten_Ortiz@yahoo.com;Cleta;Fay;Bedfordshire Alaska calculate;Chips
